name,x,y,theta,msec
Image_20250619105947080.bmp.png,180.51,239.48,0.00,6
Image_20250619110005703.bmp.png,193.30,356.13,-57.46,6
Image_20250619110020651.bmp.png,270.18,173.31,57.72,5
Image_20250619110204759.bmp.png,408.55,307.45,172.64,6
Image_20250619110213849.bmp.png,343.04,398.71,-139.90,5
Image_20250619110220928.bmp.png,222.39,385.36,-77.44,5
Image_20250619110230063.bmp.png,168.35,287.71,-22.48,6
Image_20250619110237468.bmp.png,194.64,232.39,12.76,6
Image_20250619110251647.bmp.png,208.81,200.32,27.75,5
Image_20250619110542813.bmp.png,172.49,254.51,-2.50,5
Image_20250619110612672.bmp.png,195.69,224.36,17.75,6
Image_20250619110652385.bmp.png,217.84,195.31,30.24,5
Image_20250619110728820.bmp.png,248.09,179.30,50.23,5
Image_20250619110756081.bmp.png,171.33,300.77,-27.48,6
